type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
mixed,1259.000,1316.000,1616.000,1770.000,1609.000,2092.000,1758.000,1133.000,1504.000,1870.000,1450.000,791.000,871.000,1591.000,1027.000,703.000,1572.000,1048.000,1062.000,1481.000,1237.000,802.000,1771.000
mixed,1310.000,1548.000,1771.000,1999.000,1528.000,2297.000,1631.000,1108.000,1442.000,2207.000,1176.000,797.000,918.000,1598.000,1182.000,688.000,1781.000,1302.000,1186.000,1496.000,1283.000,856.000,1804.000
mixed,1218.000,1625.000,1902.000,2130.000,1448.000,2204.000,1716.000,1128.000,1456.000,2317.000,1060.000,811.000,1008.000,1475.000,1046.000,617.000,1822.000,1337.000,1091.000,1578.000,1366.000,878.000,1936.000
mixed,1264.000,1328.000,1648.000,1770.000,1410.000,2024.000,1462.000,998.000,1277.000,1990.000,959.000,736.000,904.000,1484.000,1022.000,564.000,1760.000,1120.000,1118.000,1420.000,1338.000,750.000,1691.000
mixed,1187.000,1514.000,1703.000,1878.000,1236.000,1957.000,1463.000,998.000,1334.000,2024.000,1044.000,784.000,899.000,1458.000,1195.000,576.000,1752.000,1312.000,1099.000,1564.000,1339.000,764.000,1747.000
mixed,1336.000,1644.000,1787.000,1924.000,1225.000,1886.000,1651.000,1074.000,1361.000,1944.000,1105.000,742.000,902.000,1508.000,1266.000,650.000,1708.000,1153.000,1193.000,1413.000,1240.000,869.000,1754.000
mixed,1292.000,1302.000,1644.000,1697.000,1406.000,1886.000,1752.000,1136.000,1327.000,1886.000,1078.000,727.000,805.000,1471.000,1135.000,667.000,1595.000,1198.000,1064.000,1449.000,1292.000,860.000,1686.000
mixed,1294.000,1487.000,1717.000,1843.000,1258.000,1963.000,1417.000,917.000,1307.000,1948.000,1084.000,782.000,931.000,1525.000,1132.000,662.000,1664.000,1120.000,1048.000,1536.000,1201.000,770.000,1864.000
mixed,1114.000,1427.000,1783.000,1892.000,1480.000,2093.000,1458.000,960.000,1339.000,2102.000,966.000,791.000,953.000,1582.000,1254.000,654.000,1675.000,1121.000,1058.000,1637.000,1366.000,808.000,1914.000
mixed,1314.000,1379.000,1694.000,1792.000,1368.000,1954.000,1396.000,950.000,1326.000,1945.000,1040.000,743.000,880.000,1468.000,1222.000,626.000,1619.000,1225.000,1127.000,1564.000,1258.000,763.000,1810.000
